node	synthesized	substrate_available	rep1_soluble	rep1_active	rep2_soluble	rep2_active	rep3_soluble	rep3_active	total_soluble	total_active
A0A009NBJ7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A011R8E6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A017H745	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A024H7W1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A0A073CBY9	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A075HNX4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A085F5E1	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
A0A085FLP7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A087D1R1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A0A087RXW1	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	TRUE
A0A090SES2	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
A0A0A1ZY49	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0A8UQ43	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
